word,idx
UNK,0
the,1
of,2
and,3
one,4
in,5
a,6
to,7
zero,8
nine,9
two,10
is,11
as,12
eight,13
for,14
s,15
five,16
three,17
was,18
by,19
that,20
four,21
six,22
seven,23
with,24
on,25
are,26
it,27
from,28
or,29
his,30
an,31
be,32
this,33
which,34
at,35
he,36
also,37
not,38
have,39
were,40
has,41
but,42
other,43
their,44
its,45
first,46
they,47
some,48
had,49
all,50
more,51
most,52
can,53
been,54
such,55
many,56
who,57
new,58
used,59
there,60
after,61
when,62
into,63
american,64
time,65
these,66
only,67
see,68
may,69
than,70
world,71
i,72
b,73
would,74
d,75
no,76
however,77
between,78
about,79
over,80
years,81
states,82
people,83
war,84
during,85
united,86
known,87
if,88
called,89
use,90
th,91
system,92
often,93
state,94
so,95
history,96
will,97
up,98
while,99
where,100
city,101
being,102
english,103
then,104
any,105
both,106
under,107
out,108
made,109
well,110
her,111
e,112
number,113
government,114
them,115
m,116
later,117
since,118
him,119
part,120
name,121
c,122
century,123
through,124
because,125
x,126
university,127
early,128
life,129
british,130
year,131
like,132
same,133
including,134
became,135
example,136
day,137
each,138
even,139
work,140
language,141
although,142
several,143
form,144
john,145
u,146
national,147
very,148
much,149
g,150
french,151
before,152
general,153
what,154
t,155
against,156
n,157
high,158
links,159
could,160
based,161
those,162
now,163
second,164
de,165
music,166
another,167
large,168
she,169
f,170
external,171
german,172
different,173
modern,174
great,175
do,176
common,177
set,178
list,179
south,180
series,181
major,182
game,183
power,184
long,185
country,186
king,187
law,188
group,189
film,190
still,191
until,192
north,193
international,194
term,195
we,196
end,197
book,198
found,199
own,200
political,201
party,202
order,203
usually,204
president,205
church,206
you,207
death,208
theory,209
area,210
around,211
include,212
god,213
ii,214
way,215
did,216
military,217
population,218
using,219
though,220
small,221
following,222
within,223
non,224
human,225
left,226
main,227
among,228
point,229
r,230
due,231
p,232
considered,233
public,234
popular,235
computer,236
west,237
family,238
east,239
information,240
important,241
european,242
man,243
sometimes,244
right,245
old,246
free,247
word,248
without,249
last,250
us,251
members,252
given,253
times,254
roman,255
make,256
h,257
age,258
place,259
l,260
thus,261
science,262
case,263
become,264
systems,265
union,266
born,267
york,268
line,269
countries,270
does,271
isbn,272
st,273
control,274
various,275
others,276
house,277
article,278
island,279
should,280
led,281
back,282
period,283
player,284
europe,285
languages,286
central,287
water,288
few,289
western,290
home,291
began,292
generally,293
less,294
k,295
similar,296
written,297
original,298
best,299
must,300
according,301
school,302
france,303
air,304
single,305
force,306
v,307
land,308
groups,309
down,310
how,311
works,312
development,313
official,314
support,315
england,316
j,317
rather,318
data,319
space,320
greek,321
km,322
named,323
germany,324
just,325
games,326
said,327
version,328
late,329
earth,330
company,331
every,332
economic,333
short,334
published,335
black,336
army,337
off,338
london,339
million,340
body,341
field,342
christian,343
either,344
social,345
empire,346
o,347
developed,348
standard,349
court,350
service,351
kingdom,352
along,353
college,354
republic,355
sea,356
america,357
today,358
result,359
held,360
team,361
light,362
means,363
never,364
especially,365
third,366
further,367
character,368
forces,369
take,370
men,371
society,372
show,373
open,374
possible,375
fact,376
battle,377
took,378
former,379
books,380
soviet,381
river,382
children,383
having,384
good,385
local,386
current,387
son,388
process,389
natural,390
present,391
himself,392
islands,393
total,394
near,395
white,396
days,397
person,398
itself,399
seen,400
culture,401
little,402
above,403
software,404
largest,405
words,406
upon,407
level,408
father,409
created,410
side,411
red,412
references,413
press,414
full,415
region,416
almost,417
image,418
al,419
famous,420
play,421
came,422
role,423
once,424
